country,quarter,profit_margin
mexico,2010Q3,-9.339643329381943
mexico,2010Q4,-317.2582415416837
mexico,2011Q1,-6.877399653196335
mexico,2011Q2,-2.883380964398384
nigeria,2000Q1,2.034978525979178
nigeria,2001Q1,7.296835677964347
nigeria,2001Q2,8.221142854009356
nigeria,2001Q3,3.024992891720363
nigeria,2001Q4,3.5763071743505344
nigeria,2004Q1,12.958792890821185
nigeria,2004Q2,16.35279985836574
nigeria,2004Q3,15.165821552276611
nigeria,2004Q4,8.054164341517858
nigeria,2005Q1,21.607914243425643
nigeria,2005Q2,22.61122144971575
nigeria,2005Q3,21.71027139254979
nigeria,2005Q4,22.839271341051376
nigeria,2006Q1,23.92975010190691
nigeria,2006Q2,26.587949889046804
nigeria,2006Q3,25.028228419167654
nigeria,2006Q4,21.976864337921143
nigeria,2007Q1,42.1060072353908
nigeria,2007Q2,41.179414476667134
nigeria,2007Q3,39.37158652714321
nigeria,2007Q4,31.536500181470597
nigeria,2008Q1,30.607371398380824
nigeria,2008Q2,29.07633556638445
nigeria,2008Q3,27.681506838117325
nigeria,2008Q4,8.405856796673365
nigeria,2009Q1,3.9402424607958113
nigeria,2009Q2,0.08520713874271937
nigeria,2009Q3,11.335678705147334
nigeria,2009Q4,11.483607053756714
nigeria,2010Q1,18.185057014226913
nigeria,2010Q2,16.40670726980482
nigeria,2010Q3,20.683342797415598
nigeria,2010Q4,20.10263569014413
nigeria,2011Q1,21.762614386422293
nigeria,2011Q2,20.738528728485107
pakistan,2004Q1,1.6085428510393416
pakistan,2004Q2,1.0809714453560966
pakistan,2004Q3,-0.1573714358466012
pakistan,2004Q4,4.324399948120117
pakistan,2005Q1,1.1501143319266183
pakistan,2005Q2,1.28242860521589
pakistan,2005Q3,3.3450001307896207
pakistan,2005Q4,1.0654714448111398
pakistan,2006Q2,1.7022857666015625
pakistan,2006Q3,2.4208570207868303
pakistan,2006Q4,1.6064999444144112
pakistan,2007Q1,6.357314382280622
pakistan,2007Q2,15.536585399082728
pakistan,2007Q3,13.089428765433174
pakistan,2007Q4,17.10205704825265
pakistan,2008Q1,14.0769715990339
pakistan,2008Q2,27.46561404636928
pakistan,2008Q3,3.514400209699358
pakistan,2008Q4,6.466571501323155
pakistan,2009Q1,-4.588685819080898
pakistan,2009Q2,-13.523657526288714
pakistan,2009Q3,-5.847214494432722
pakistan,2009Q4,7.134099996515682
pakistan,2010Q1,9.312285474368505
pakistan,2010Q2,15.508814334869385
pakistan,2010Q3,14.508857454572405
pakistan,2010Q4,-27.970184530530656
pakistan,2011Q1,19.859757287161692
pakistan,2011Q2,1.7319999422345842
panama,1999Q2,13.271059799194337
panama,1999Q3,3.1874799728393555
panama,1999Q4,16.439800262451172
panama,2000Q1,2.2046199798583985
panama,2000Q2,15.551039886474609
panama,2000Q4,32.801900482177736
panama,2001Q1,3.7386199951171877
panama,2001Q2,1.3480602264404298
panama,2001Q3,3.347079849243164
panama,2001Q4,19.86713981628418
panama,2002Q2,10.760360145568848
panama,2002Q3,3.5243598937988283
panama,2002Q4,9.617060375213622
panama,2003Q1,4.048360061645508
panama,2003Q3,4.2543998718261715
panama,2003Q4,5.383020401000977
panama,2004Q1,4.555820083618164
panama,2004Q2,11.150580406188965
panama,2004Q3,4.4861198425292965
panama,2004Q4,13.745299816131592
panama,2005Q1,5.280179977416992
panama,2005Q2,7.848639869689942
panama,2005Q3,4.079100036621094
panama,2005Q4,27.44134063720703
panama,2006Q2,15.077500152587891
panama,2006Q4,29.641440010070802
panama,2007Q2,31.317679786682127
panama,2007Q4,24.059299850463866
panama,2008Q2,27.719180297851562
panama,2008Q4,26.67572078704834
panama,2009Q2,18.04217987060547
panama,2009Q4,14.670160102844239
panama,2010Q2,57.03091983795166
panama,2010Q4,19.709079933166503
panama,2011Q2,11.086079788208007
peru,2007Q4,16.78700065612793
peru,2009Q2,16.727699756622314
peru,2009Q4,18.049100399017334
peru,2010Q2,23.836949348449707
peru,2010Q4,17.88020086288452
philippines,1999Q1,319.775203704834
