countryname,bankname,bankname_sbs,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
peru,interbank,Interbank,market,2014-04-30,2014,4,31453040.29,28859700.52,2593339.769,27308475.228,1551225.292,58376.38056000002,197009.59407999995,0.2963123741897313
peru,interbank,Interbank,market,2014-05-31,2014,5,30459391.68,27785292.239,2674099.441,26242916.901,1542375.338,58065.89022999996,190514.9950600001,0.3047838319063174
peru,interbank,Interbank,market,2014-06-30,2014,6,30535465.761,27814651.538,2720814.222,26261536.171,1553115.367,47009.545510000025,181610.98270000005,0.2588474816396663
peru,interbank,Interbank,market,2014-07-31,2014,7,30904430.037,28112070.932,2792359.105,26556520.984,1555549.948,70121.19469000003,204879.02079,0.3422565883984477
peru,interbank,Interbank,market,2014-08-31,2014,8,30616485.237,27762700.652,2853784.585,26178670.095,1584030.557,62530.90894,186720.57296,0.3348903013134798
peru,interbank,Interbank,market,2014-09-30,2014,9,31406623.106,28503443.604,2903179.502,26923378.915,1580064.689,59213.04476999998,193450.3979199999,0.3060890306076658
peru,interbank,Interbank,market,2014-10-31,2014,10,30790098.793,27820241.251,2969857.542,26223062.501,1597178.75,62772.21678000002,204861.99714999995,0.3064122075020005
peru,interbank,Interbank,market,2014-11-30,2014,11,31297657.941,28275452.864,3022205.076,26670854.966,1604597.8979999998,62677.47782999999,207282.53593,0.3023770311801201
peru,interbank,Interbank,market,2014-12-31,2014,12,32836081.167,29741106.577,3094974.59,28111372.379,1629734.198,65944.17451000004,221294.17375000007,0.2979932701911001
peru,interbank,Interbank,market,2015-01-31,2015,1,33244085.076,30046862.762,3197222.313,28385684.945,1661177.817,79497.56187,217356.4056,0.36574749959888
peru,interbank,Interbank,market,2015-02-28,2015,2,33643018.615,30384530.079,3258488.536,28700112.112,1684417.967,61777.168990000006,206748.8497,0.2988029634972136
peru,interbank,Interbank,market,2015-03-31,2015,3,34915509.836,31921816.957,2993692.879,30259168.708,1662648.249,81707.59308999998,231465.69712999996,0.3530008727129441
peru,interbank,Interbank,market,2015-04-30,2015,4,33679212.137,30600896.769,3078315.367,28921441.221,1679455.548,76446.58054,241632.91487,0.3163748638347914
peru,interbank,Interbank,market,2015-05-31,2015,5,34657579.584,31524403.365,3133176.219,29822846.136,1701557.229,67239.78781000001,227076.34513000012,0.2961109303195167
peru,interbank,Interbank,market,2015-06-30,2015,6,35412650.446,32228021.839,3184628.607,30519118.458,1708903.381,62852.734670000034,234475.4461399999,0.2680567867753287
peru,interbank,Interbank,market,2015-07-31,2015,7,36728405.612,33475915.547,3252490.064,31758935.979,1716979.568,76592.12616999994,244245.4789400001,0.3135866690446095
peru,interbank,Interbank,market,2015-08-31,2015,8,39508545.037,36232844.588,3275700.449,34486871.465,1745973.123,80101.15875000006,262262.1624400001,0.3054240001865517
peru,interbank,Interbank,market,2015-09-30,2015,9,39225183.036,35875461.937,3349721.098,34159673.004,1715788.9330000002,81130.69390999991,260364.3414899998,0.311604474889723
peru,interbank,Interbank,market,2015-10-31,2015,10,41042466.169,37595430.283,3447035.885,35849626.781,1745803.502,76212.29034000007,241665.7290900005,0.3153624248956594
peru,interbank,Interbank,market,2015-11-30,2015,11,41860907.752,38333104.456,3527803.295,36542892.057,1790212.399,64824.07675999997,231433.76071999967,0.2800977547887986
peru,interbank,Interbank,market,2015-12-31,2015,12,41505522.43,37954548.2,3550974.229,36150289.285,1804258.915,51959.19299000001,254498.50611,0.2041630569239651
peru,interbank,Interbank,market,2016-01-31,2016,1,40621803.782,37022445.798,3599357.984,35190470.438,1831975.36,76755.25634,253709.23922,0.3025323656953734
peru,interbank,Interbank,market,2016-02-29,2016,2,40306465.882,36588552.376,3717913.506,34724521.098000005,1864031.278,58815.08418999998,228876.88558,0.2569725817482874
peru,interbank,Interbank,market,2016-03-31,2016,3,41164993.571,37709344.578,3455648.993,35950935.96,1758408.618,84674.75577000002,260754.92386999997,0.3247292688218414
peru,interbank,Interbank,market,2016-04-30,2016,4,39837134.113,36266429.74,3570704.372,34518795.878,1747633.862,80178.49005,269940.69096000004,0.2970226154673394
peru,interbank,Interbank,market,2016-05-31,2016,5,40616000.514,36967877.042,3648123.471,35175644.024000004,1792233.018,62386.864760000026,244498.81283000016,0.2551622400039118
peru,interbank,Interbank,market,2016-06-30,2016,6,39128640.741,35408169.929,3720470.812,33650313.933,1757855.996,62735.60446999996,241942.89344999983,0.2592992237772215
peru,interbank,Interbank,market,2016-07-31,2016,7,40434307.2,36603861.908,3830445.291,34816156.798,1787705.11,72913.10907,243428.45638999995,0.299525824348099
peru,interbank,Interbank,market,2016-08-31,2016,8,42333096.256,38461980.68,3871115.576,36649446.149,1812534.531,56567.30124999996,251597.97453999985,0.2248321011066276
peru,interbank,Interbank,market,2016-09-30,2016,9,41947134.203,37972519.046,3974615.157,36182649.485,1789869.561,81515.22784000007,256017.5090699999,0.3183970820437609
peru,interbank,Interbank,market,2016-10-31,2016,10,39775093.663,35738312.944,4036780.718,33957911.018,1780401.926,80074.61451999994,266781.99035000056,0.3001500004364885
peru,interbank,Interbank,market,2016-11-30,2016,11,40533275.406,36439052.033,4094223.372,34629132.858,1809919.175,69418.80516999995,241865.69122999956,0.2870138580506108
peru,interbank,Interbank,market,2016-12-31,2016,12,42477384.602,38293802.525,4183582.076,36506901.52,1786901.005,89039.75082000007,276978.74514000025,0.321467810733977
peru,interbank,Interbank,market,2017-01-31,2017,1,42772913.544,38523205.427,4249708.116,36761343.281,1761862.146,64023.832740000005,266391.01513,0.2403378083482135
peru,interbank,Interbank,market,2017-02-28,2017,2,41280109.328,36962108.256,4318001.071,35200735.743,1761372.513,59197.13795,233979.19045,0.2530017213759447
peru,interbank,Interbank,market,2017-03-31,2017,3,40092371.024,36085738.653,4006632.37,34353854.581,1731884.072,76397.34352000001,261083.06054000003,0.2926170061052096
peru,interbank,Interbank,market,2017-04-30,2017,4,40131322.289,36055520.992,4075801.297,34313913.884,1741607.108,77195.88716999997,266322.63297000004,0.289858531019764
peru,interbank,Interbank,market,2017-05-31,2017,5,40922554.269,36762212.483,4160341.785,35005283.761,1756928.722,70318.63819000003,258392.86307000008,0.2721384691300483
peru,interbank,Interbank,market,2017-06-30,2017,6,41473454.431,37239199.828,4234254.602,35491499.816,1747700.012,68182.94292999996,251931.15273,0.2706411739522864
