countryname,bankname,bankname_cnbv,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
mexico,banco_bajio,Banco del Bajío,market,2023-02-28,2023,2,309366.381696,270790.151625,38576.230071,270790.151625,0.0,832.86294,1635.429645,0.509262469679642
mexico,banco_bajio,Banco del Bajío,market,2023-03-31,2023,3,308872.523928,269234.165064,39638.358864,269234.165064,0.0,913.482808,1896.153372,0.4817557595757606
mexico,banco_bajio,Banco del Bajío,market,2023-04-30,2023,4,310396.179021,274586.109314,35810.069707,274586.109314,0.0,994.0775980000004,1816.195743,0.5473405616279986
mexico,banco_bajio,Banco del Bajío,market,2023-05-31,2023,5,310558.674529,273914.382469,36644.29206,273914.382469,0.0,834.3720879999996,1838.0864919999997,0.4539351611752119
mexico,banco_bajio,Banco del Bajío,market,2023-06-30,2023,6,320518.102466,282920.336863,37597.765602,282920.336863,0.0,953.9585530000004,1791.5367289999997,0.5324806003460958
mexico,banco_bajio,Banco del Bajío,market,2023-07-31,2023,7,320639.793622,282149.945361,38489.848261,282149.945361,0.0,902.968847,1844.259924,0.4896104042870261
mexico,banco_bajio,Banco del Bajío,market,2023-08-31,2023,8,322069.232269,282682.761512,39386.470756,282682.761512,0.0,895.6605759999993,1873.0564490000013,0.4781813044012528
mexico,banco_bajio,Banco del Bajío,market,2023-09-30,2023,9,326236.071708,285887.866147,40348.205561,285887.866147,0.0,956.7290089999996,1807.5601849999985,0.5292930309814279
mexico,banco_bajio,Banco del Bajío,market,2023-10-31,2023,10,324635.338348,284961.852007,39673.48634,284961.852007,0.0,925.0373060000002,1883.6348519999992,0.4910916279860809
mexico,banco_bajio,Banco del Bajío,market,2023-11-30,2023,11,320275.35629,279706.411146,40568.945144,279706.411146,0.0,904.302173,1858.0916260000013,0.4866833047123368
mexico,banco_bajio,Banco del Bajío,market,2023-12-31,2023,12,344137.278028,302535.281277,41601.99675,302535.281277,0.0,1033.7443320000002,2242.7936100000006,0.4609181724929205
mexico,banco_bajio,Banco del Bajío,market,2024-01-31,2024,1,350697.479176,308134.69366,42562.785516,308134.69366,0.0,963.803912,1907.023741,0.5053969131472915
mexico,banco_bajio,Banco del Bajío,market,2024-02-29,2024,2,352107.792234,308699.432339,43408.359894,308699.432339,0.0,847.87082,1822.612546,0.4651953163939211
mexico,banco_bajio,Banco del Bajío,market,2024-03-31,2024,3,346535.800398,302215.520748,44320.279649,302215.520748,0.0,967.109478,1939.7200960000005,0.4985819758192574
mexico,banco_bajio,Banco del Bajío,market,2024-04-30,2024,4,337623.315063,299098.670672,38524.644391,299098.670672,0.0,821.6259400000004,1842.2831419999995,0.4459824449720773
mexico,banco_bajio,Banco del Bajío,market,2024-05-31,2024,5,335276.15671,295823.707228,39452.449482,295823.707228,0.0,926.059852,1948.929062,0.4751634474831387
mexico,banco_bajio,Banco del Bajío,market,2024-06-30,2024,6,353297.229685,312774.593536,40522.636148,312774.593536,0.0,1099.7249300000003,1877.7329640000007,0.5856663067028097
