country,quarter,EMBI_bps,JLoss,GaR,GaR_st,prob_neg,ES,skew,std,g_GDP,VIX,JLoss_x_GaR,t
chile,2012Q2,167.87257142857143,2.193231241728929,0.043878713966869,0.0446630270441382,0.0,0.0401972480514886,0.2771603687160467,0.0089580582957832,0.469299224844524,-0.339717653026506,0.0962361663190246,2012Q2
chile,2012Q3,149.23387301587303,2.355032474641536,0.0517139397700096,0.0521245436191238,0.0,0.0451550988246962,0.444213598217664,0.0088014202058225,0.500662118095782,-0.515068119980867,0.12178800755002904,2012Q3
chile,2012Q4,128.6046393442623,2.187071766164481,0.0357880280248333,0.0362496201080153,0.0,0.0348454440415178,0.4028515633123694,0.0099954930810369,0.239009945492289,-0.217621772332358,0.07827098565981612,2012Q4
chile,2013Q1,130.60428333333334,2.1827216675739423,0.0334782716888122,0.0339097056424596,0.0,0.0323505064022546,0.4298766086324537,0.0075683111812222,-0.0919447026845179,-0.908632501367324,0.07307374900809767,2013Q1
chile,2013Q2,152.08934375,2.2160434851742847,0.0023311334361034,0.0027543374792786,0.0,0.0010539709637174,-0.1210218817033862,0.0142237852461543,-0.258789867828899,-0.368293284678328,0.0051658930641488845,2013Q2
chile,2013Q3,171.162546875,2.270644182677536,0.0113931771872505,0.0116803082737366,0.0,0.011087727209704,0.1320316831229808,0.010460653260805,-0.379079176938397,-0.40206448572139,0.025869851502444762,2013Q3
chile,2013Q4,161.80396774193548,2.3803771944931205,0.015903590695924,0.0159805707057337,0.0,0.0143940074380287,0.1670957253043998,0.0094871211863774,-0.414017309953981,-0.776145481890695,0.03785654460313047,2013Q4
chile,2014Q1,154.3899836065574,2.367825562755581,0.0130200958825842,0.0129813468950697,0.0253373520597538,-0.0001780975090275,0.3036056695243241,0.0080852288009678,-0.49415509901002,-0.755363204325733,0.03082931586031156,2014Q1
chile,2014Q2,131.95050793650796,2.1679805104925607,0.0045515816551172,0.0049089461153342,0.0,0.0035770024182137,0.4185928348665305,0.0091838997273922,-0.671431700049301,-1.05540733666986,0.009867740320209562,2014Q2
chile,2014Q3,126.733234375,1.6370404685394342,-0.0112390892352493,-0.010753873149515,0.0668180627755893,-0.0175149958213836,-0.0603586216140991,0.0116556924439365,-0.764851619761838,-0.439732363807883,-0.018398843907629026,2014Q3
