seed,N,b3,t3,p3,b1,bD,cr_N,cr_b3,cr_t3,cr_p3,b4_bk,sum_bk,sum_bk_p,b4_em,sum_em,sum_em_p,error
195,617,0.2313144725811235,1.2125847693699972,0.22585221871278982,2.7666291263437834,5.44830933186032,617,0.9183809383666653,2.34451583913673,0.019440607705165425,-1.0518543471369042,-0.13347340877023883,0.12267175159446086,0.22663629479231506,1.1450172331589803,0.001156555719840524,
196,617,0.18091496688349443,1.4044029528505213,0.16080999311634536,2.673569694668108,6.882387218680457,617,0.6540756091298164,1.9973728091078569,0.04632394447843424,-0.7200611356008225,-0.06598552647100608,0.3499461915726112,0.22336433578715845,0.8774399449169749,0.006602698645783667,
197,617,0.18928840956617954,1.350657291493825,0.1774065722598217,2.66793084215462,6.2814402250966115,617,0.712112390651047,2.0957180552126546,0.03660743834200253,-0.7850715507742609,-0.0729591601232139,0.299744256909813,0.20936095352685097,0.921473344177898,0.004243295781684031,
198,617,0.19822523839654493,1.3765404193139164,0.16926077979650267,2.6917749911985447,7.28368963785049,617,0.7273242198321708,2.111558365905085,0.035217909770261624,-0.8094409529997219,-0.08211673316755108,0.273183940429903,0.23071403823128872,0.9580382580634594,0.004422194690379744,
199,617,0.2151214154876909,1.3079889997353642,0.1914685974351351,2.6901569116399715,6.58403755076004,617,0.8235648824800758,2.282073513508405,0.022902597289143678,-0.9252237622945586,-0.10165887981448285,0.19521692088270415,0.20838811083186137,1.0319529933119371,0.0028969017515956264,
200,617,0.19845580405963026,1.3121292934622477,0.1900690957680009,2.708824640345701,7.189571624700382,617,0.8021453562572078,2.1163013183117867,0.03481073834538906,-0.8953718541773066,-0.09322649792009874,0.26868117524000645,0.19555482761072382,0.9977001838679317,0.0037370100957971886,
201,617,0.1637452926521144,1.167567369331673,0.24352903253804215,2.670455839314787,5.4625528012598545,617,0.7565090824841109,2.008338145668452,0.04514249581639418,-0.8411186024684186,-0.08460951998430777,0.2628727551673622,0.18987382772181974,0.9463829102059306,0.0023055692613325185,
202,617,0.1855233152946735,1.355174356030283,0.17596427745419607,2.6466873004729172,6.513225732511254,617,0.7015505974820041,2.0657860156089214,0.03936125158152981,-0.7754148182414448,-0.07386422075944066,0.29847426206734284,0.22108756061406853,0.9226381580960726,0.003932307728435891,
203,617,0.17755820651288412,1.3077260188942834,0.19155774633246603,2.663396631731047,6.304034001311947,617,0.7064213186402849,2.0713104342371635,0.038840108359370795,-0.7831248973917664,-0.07670357875148148,0.29212006638191435,0.20969629887740213,0.916117617517687,0.004459785320663823,
204,617,0.2309543803329126,1.366923225834704,0.1722539642427494,2.714973318840441,6.676868334027189,617,0.8230446841504216,2.309738597616279,0.021307488120030138,-0.9206352146208073,-0.09759053047038568,0.20519925708960685,0.22418481779599517,1.0472295019464168,0.0025503006295868325,
