quarter,country,EMBI_bps,CDS_bps
2021Q1,poland,15.0,
2021Q2,poland,15.714285714285714,
2021Q3,poland,15.296875,
2021Q4,poland,32.20967741935484,
2022Q1,poland,27.43548387096774,
2022Q2,poland,36.37096774193548,
2022Q3,poland,21.703125,
2022Q4,poland,72.32786885245902,
2023Q1,poland,87.7741935483871,
2023Q2,poland,110.73015873015873,
2023Q3,poland,116.98412698412699,
2023Q4,poland,109.62903225806451,
2024Q1,poland,96.73770491803279,
2024Q2,poland,95.1774193548387,
2024Q3,poland,110.40625,
2024Q4,poland,110.85483870967742,
2025Q1,poland,114.27868852459017,
2025Q2,poland,110.59677419354838,
2025Q3,poland,92.28125,
2025Q4,poland,85.7741935483871,
2026Q1,poland,87.55737704918033,
2026Q2,poland,86.22222222222223,
2026Q3,poland,83.18181818181819,
2012Q1,romania,396.12130434782614,
2012Q2,romania,464.32,
2012Q3,romania,424.2674603174603,
2012Q4,romania,287.87333333333333,
2013Q1,romania,243.07083333333333,
2013Q2,romania,238.52609375,
2013Q3,romania,242.746875,
2013Q4,romania,222.99475409836066,
2014Q1,romania,209.88590163934424,
2014Q2,romania,176.22111111111113,
2014Q3,romania,168.94828125,
2014Q4,romania,176.35245901639345,
2015Q1,romania,166.04196721311476,
2015Q2,romania,173.6546875,
2015Q3,romania,188.23828125,
2015Q4,romania,177.4225806451613,
2016Q1,romania,193.59081967213118,
2016Q2,romania,199.1996875,
2016Q3,romania,168.6246875,
2016Q4,romania,169.4188524590164,
2017Q1,romania,156.08709677419355,
2017Q2,romania,140.16095238095238,
2017Q3,romania,131.5584126984127,
2017Q4,romania,120.72629032258064,
2018Q1,romania,121.801,
2018Q2,romania,154.85,
2018Q3,romania,170.80174603174603,
2018Q4,romania,194.78573770491803,
2019Q1,romania,193.8350819672131,
2019Q2,romania,181.04968253968252,
2019Q3,romania,172.709375,
2019Q4,romania,170.45516129032256,
2020Q1,romania,214.30806451612904,
2020Q2,romania,311.0606349206349,
2020Q3,romania,241.0234375,
2020Q4,romania,195.43274193548388,
2021Q1,romania,173.88557377049182,
2021Q2,romania,163.14238095238093,
2021Q3,romania,174.24828125,
2021Q4,romania,193.13951612903224,
2022Q1,romania,214.13209677419357,
