country,quarter,CR3_q,HHI_q,n_bancos
india,2020Q4,0.5184469937656583,1464.2477702080603,13
india,2021Q1,0.5224966133710324,1488.195315040092,13
india,2021Q2,0.5274219375663691,1499.4077176457977,13
india,2021Q3,0.5283472720474673,1504.1350555917868,13
india,2021Q4,0.5299174008709754,1507.4154831057754,13
india,2022Q1,0.5326366549637096,1505.957519800572,13
india,2022Q2,0.5320523193585694,1494.8770571181874,13
india,2022Q3,0.5338824394367484,1501.5945268349287,13
india,2022Q4,0.5355458506117434,1498.4002417330519,13
india,2023Q1,0.5341223350428435,1498.6540980803898,13
india,2023Q2,0.5352911692910725,1485.188145614393,13
india,2023Q3,0.5361916304836134,1478.0278174887765,13
india,2023Q4,0.5642998335925605,1500.494566394089,13
india,2024Q1,0.5649905213464239,1499.8409777783847,13
india,2024Q2,0.5656701156872375,1491.7959067040792,13
india,2024Q3,0.5639152659252897,1484.8702673189532,13
india,2024Q4,0.5641195818920357,1480.4447631795833,13
india,2025Q1,0.566375594380916,1501.1780631479853,13
india,2025Q2,0.5604986979465293,1469.1192336256381,13
india,2025Q3,0.564356323103057,1485.1089945862875,13
india,2025Q4,0.563519217510351,1491.7089058308402,13
india,2026Q1,0.5645581222483465,1497.3088030683818,13
india,2026Q2,0.5647510706449173,1494.8475456685644,13
india,2026Q3,0.5664767386253365,1495.818713648788,13
indonesia,2004Q1,1.0,3678.58685658599,3
indonesia,2004Q2,0.8411634106799022,2835.609053632113,4
indonesia,2004Q3,0.835595355875171,2781.6428664302025,4
indonesia,2004Q4,0.8358151171020363,2774.946921076946,4
indonesia,2005Q1,0.832996820022109,2773.644786012053,4
indonesia,2005Q2,0.8323283153741081,2782.541210190019,4
indonesia,2005Q3,0.8275021518467186,2777.928543445322,4
indonesia,2005Q4,0.8281766821710688,2741.4571923296016,4
indonesia,2006Q1,0.8205433885488747,2752.7729517828902,4
indonesia,2006Q2,0.8170063416822062,2722.1075514269833,4
indonesia,2006Q3,0.805501190530372,2688.9116480346024,4
indonesia,2006Q4,0.8036766051530383,2651.639198609531,4
indonesia,2007Q1,0.7986543285688719,2632.6498220889994,4
indonesia,2007Q2,0.8016100340333335,2615.8323064816054,4
indonesia,2007Q3,0.7882229025553191,2595.7848658224684,4
